Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\DAQ_Board\Project Outputs for DAQ_Board\Pick Place for DAQ_Board.txt

========================================================================================================================
File Design Information:

Date:       22/06/26
Time:       13:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                       Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                        
C15        CC0805KRX7R9BB104             TopLayer FP-CC0805-0_85-MFG          49.4390      5.9690       0        "CAP CER 0.1UF 50V X7R 0805"                                                                                                                       
C14        CERAMIC-22PF-50V-5%-NPO(0805) TopLayer C0805                       28.1940      15.4940      0        "22 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)"                                                                                     
C13        CC0805KRX7R9BB104             TopLayer FP-CC0805-0_85-MFG          51.9790      16.5100      0        "CAP CER 0.1UF 50V X7R 0805"                                                                                                                       
C12        GRM21BR61A105KA01L            TopLayer CAPC2012X135N               25.9740      9.3980       0        "SMD Capacitor X5R(EIA) with Capacitance: 1.0uF Tol. 10%. Rated Voltage: 10Vdc"                                                                    
C11        CC0805KRX7R9BB104             TopLayer FP-CC0805-0_85-MFG          46.3550      33.9090      0        "CAP CER 0.1UF 50V X7R 0805"                                                                                                                       
C10        CC0805KRX7R9BB104             TopLayer FP-CC0805-0_85-MFG          40.7670      27.4320      0        "CAP CER 0.1UF 50V X7R 0805"                                                                                                                       
C9         CC0805KRX7R9BB104             TopLayer FP-CC0805-0_85-MFG          39.4970      8.8900       0        "CAP CER 0.1UF 50V X7R 0805"                                                                                                                       
C8         GRM21BR61A105KA01L            TopLayer CAPC2012X135N               15.1130      7.1120       0        "SMD Capacitor X5R(EIA) with Capacitance: 1.0uF Tol. 10%. Rated Voltage: 10Vdc"                                                                    
C7         CC0805KRX7R9BB104             TopLayer FP-CC0805-0_85-MFG          35.8140      27.5590      0        "CAP CER 0.1UF 50V X7R 0805"                                                                                                                       
C6         CC0805KKX5R7BB106             TopLayer CAPC2012X70                 4.1910       25.5270      0        "10 µF ±10% 16V Ceramic Capacitor X5R 0805 (2012 Metric)"                                                                                        
C5         CERAMIC-22PF-50V-5%-NPO(0805) TopLayer C0805                       20.7010      6.4770       0        "22 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)"                                                                                     
C4         CC0805KRX7R9BB104             TopLayer FP-CC0805-0_85-MFG          19.4310      21.9710      0        "CAP CER 0.1UF 50V X7R 0805"                                                                                                                       
C3         CC0805KRX7R9BB104             TopLayer FP-CC0805-0_85-MFG          43.9420      6.0960       0        "CAP CER 0.1UF 50V X7R 0805"                                                                                                                       
C2         CC0805KKX5R7BB106             TopLayer CAPC2012X70                 4.3790       14.9860      0        "10 µF ±10% 16V Ceramic Capacitor X5R 0805 (2012 Metric)"                                                                                        
C1         CERAMIC-22PF-50V-5%-NPO(0805) TopLayer C0805                       14.0970      22.8600      0        "22 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)"                                                                                     
